Designator,Mid X,Mid Y,Rotation,Layer
BT1,115.95,-110.555,90.0,bottom
BT2,115.94,-110.595,270.0,top
C1,137.120999,-102.3,0.0,bottom
C10,134.933999,-106.364,270.0,top
C11,143.061999,-100.2934,0.0,top
C12,143.823999,-103.8494,90.0,bottom
C13,144.966999,-103.8494,90.0,bottom
C14,147.887999,-104.459,180.0,bottom
C15,136.915199,-114.3142,90.0,bottom
C16,144.585999,-108.523,0.0,bottom
C17,141.664999,-111.698,0.0,bottom
C19,140.318799,-118.81,180.0,bottom
C2,137.120999,-104.332,0.0,bottom
C21,143.773199,-120.1816,0.0,bottom
C22,152.732999,-105.475,90.0,top
C23,151.208999,-105.037,180.0,top
C24,129.044999,-108.777,0.0,top
C25,132.520999,-102.935,270.0,top
C3,137.120999,-105.348,0.0,bottom
C4,137.120999,-108.396,0.0,bottom
C5,137.120999,-109.412,0.0,bottom
C6,137.120999,-103.316,0.0,bottom
C7,137.120999,-106.364,0.0,bottom
C8,137.120999,-107.38,0.0,bottom
C9,133.790999,-106.364,270.0,top
D1,149.411999,-120.43,90.0,top
D2,152.713999,-120.43,90.0,top
D3,136.203999,-120.461,90.0,top
D4,139.505999,-120.461,90.0,top
D5,142.807999,-120.43,90.0,top
D6,146.109999,-120.43,90.0,top
D7,129.599999,-120.461,90.0,top
D8,132.901999,-120.461,90.0,top
E1,161.603999,-114.458,270.0,top
J1,128.075999,-117.657,270.0,bottom
L1,135.060999,-108.904,270.0,bottom
L2,134.62,-109.22,270.0,top
L3,142.807999,-103.8494,270.0,bottom
L4,145.982999,-103.8494,270.0,bottom
L5,144.585999,-115.762,90.0,bottom
L6,152.273,-109.388,0.0,top
R1,135.187999,-101.284,90.0,top
R11,153.875999,-105.475,90.0,top
R12,149.557999,-101.919,90.0,top
R2,134.171999,-101.284,90.0,top
R3,147.887999,-105.475,0.0,bottom
R4,147.887999,-103.443,180.0,bottom
R5,135.975399,-117.159,0.0,bottom
R6,136.000799,-116.0414,0.0,bottom
R7,138.845599,-119.318,90.0,bottom
R8,137.829599,-119.318,90.0,bottom
U1,142.371847,-107.258,0.0,top
U2,139.505999,-115.627848,90.0,bottom
U3,129.853999,-102.427,270.0,top
U4,152.097999,-102.554,90.0,top
U5,129.933999,-106.745,180.0,top
